OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","6.7","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"pH","Total","7.7","std units",,"Historical",,"Actual",,,,,,,"00400",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","408","uS/cm @25C",,"Historical",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"13.5","deg C",,"Historical",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total hardness -- SDWA NPDWR",,"190","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00900",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hardness, non-carbonate","Total","18","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00902",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Calcium","Dissolved","55.0","mg/l",,"Historical",,"Actual",,,,,,,"00915",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Magnesium","Dissolved","12.0","mg/l",,"Historical",,"Actual",,,,,,,"00925",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Potassium","Dissolved","2.80","mg/l",,"Historical",,"Actual",,,,,,,"00935",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium adsorption ratio",,"0.3","None",,"Historical",,"Actual",,,,,,,"00931",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium, percent total cations",,"10","%",,"Historical",,"Actual",,,,,,,"00932",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium","Dissolved","10.0","mg/l",,"Historical",,"Actual",,,,,,,"00930",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Bicarbonate","Total","206","mg/l",,"Historical",,"Actual",,,,,,,"00440",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbonate (CO3)","Total","0.0","mg/l",,"Historical",,"Actual",,,,,,,"00445",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97102079","Sample-Routine","Water","Surface Water","1971-08-26","12:00:00","MDT",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Chloride","Dissolved","8.5","mg/l",,"Historical",,"Actual",,,,,,,"00940",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"200","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Boron","Dissolved","0.0","ug/l",,"Historical",,"Actual",,,,,,,"01020",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"pH","Total","7.9","std units",,"Historical",,"Actual",,,,,,,"00400",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","397","uS/cm @25C",,"Historical",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Temperature, water",,"2.0","deg C",,"Historical",,"Actual",,,,,,,"00010",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total hardness -- SDWA NPDWR",,"190","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00900",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hardness, non-carbonate","Total","63","mg/l CaCO3",,"Historical",,"Actual",,,,,,,"00902",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Calcium","Dissolved","56.0","mg/l",,"Historical",,"Actual",,,,,,,"00915",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Magnesium","Dissolved","12.0","mg/l",,"Historical",,"Actual",,,,,,,"00925",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Potassium","Dissolved","2.20","mg/l",,"Historical",,"Actual",,,,,,,"00935",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium adsorption ratio",,"0.2","None",,"Historical",,"Actual",,,,,,,"00931",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium, percent total cations",,"8","%",,"Historical",,"Actual",,,,,,,"00932",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sodium","Dissolved","7.70","mg/l",,"Historical",,"Actual",,,,,,,"00930",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Bicarbonate","Total","154","mg/l",,"Historical",,"Actual",,,,,,,"00440",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbonate (CO3)","Total","0.0","mg/l",,"Historical",,"Actual",,,,,,,"00445",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Chloride","Dissolved","9.6","mg/l",,"Historical",,"Actual",,,,,,,"00940",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Fluoride","Dissolved","0.10","mg/l",,"Historical",,"Actual",,,,,,,"00950",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Silica","Dissolved","16.0","mg/l",,"Historical",,"Actual",,,,,,,"00955",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Sulfate","Dissolved","65.0","mg/l",,"Historical",,"Actual",,,,,,,"00945",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","246","mg/l",,"Historical",,"Actual",,,,,,,"70301",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.33","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Inorganic nitrogen (nitrate and nitrite)","Dissolved","0.410","mg/l as N",,"Historical",,"Actual",,,,,,,"00631",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Phosphate","Dissolved","0.030","mg/l",,"Historical",,"Actual",,,,,,,"00660",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00001","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202525","Sample-Routine","Water","Surface Water","1972-03-01","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","3.1","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Total dissolved solids","Dissolved","0.34","tons/ac ft",,"Historical",,"Actual",,,,,,,"70303",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Hydrogen ion","Total","0.00001","mg/l",,"Historical",,"Actual",,,,,,,"00191",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Stream flow, mean. daily",,"200","ft3/s",,"Historical","Mean","Actual",,"1 Day",,,,,"00060",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Carbon dioxide","Total","1.7","mg/l",,"Historical",,"Actual",,,,,,,"00405",,,,,,"ALGOR","USGS","Computation by NWIS algorithm","NWIS User's Manual, QW System, Appendix",,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"pH","Total","8.2","std units",,"Historical",,"Actual",,,,,,,"00400",,,,,,,,,,,,,,,,
"USGS-UT","USGS Utah Water Science Center","nwisut.01.97202526","Sample-Routine","Water","Surface Water","1972-03-02","12:00:00","MST",,,,,,,,,,,"USGS","U.S. Geological Survey-Water Resources Discipline","USGS-10155500",,,"Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown",,"Specific conductance","Total","397","uS/cm @25C",,"Historical",,"Actual",,,"25 deg C",,,,"00095",,,,,,,,,,,,,,,,
